Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACIN1--ACIN1,ACIN1,ACIN1,PR-SdXt4A,47,474,0.764632835513974,18,29,0,-/-,-/-,in-frame
ADAM22--AOAH,ADAM22,AOAH,PR-SdXt4A,4,22,0.06507513493735949,2,2,0,+/+,-/-,out-of-frame
ADAM22--CAV2,ADAM22,CAV2,PR-SdXt4A,34,139,0.5531386469675557,12,11,11,+/+,+/+,out-of-frame
AKR1B10--SEPTIN14,AKR1B10,SEPTIN14,PR-SdXt4A,4,117,0.06507513493735949,1,1,2,+/+,-/+,out-of-frame
ATM--CARD18,CARD18,ATM,PR-SdXt4A,6,3,0.09761270240603924,2,2,2,-/.,+/.,.
CDK14--MAN2A1,MAN2A1,CDK14,PR-SdXt4A,56,563,0.9110518891230328,25,15,16,+/+,+/+,in-frame
GOLGA7B--ZFYVE27,ZFYVE27,GOLGA7B,PR-SdXt4A,149,378,2.4240487764166407,38,43,68,+/+,+/+,out-of-frame
LINC00511--LINC00511,LINC00511,LINC00511,PR-SdXt4A,35,438,0.5694074307018955,13,12,10,-/-,-/+,.
LINC01605--NRG1,NRG1,LINC01605,PR-SdXt4A,35,420,0.5694074307018955,12,4,19,+/+,-/-,out-of-frame
ME3--PARP6,ME3,PARP6,PR-SdXt4A,3,265,0.04880635120301962,0,1,2,-/-,-/-,.
ME3--TYR,ME3,TYR,PR-SdXt4A,8,90,0.13015026987471898,4,3,1,-/-,+/+,in-frame
MEX3D--MEX3D,MEX3D,MEX3D,PR-SdXt4A,90,559,1.4641905360905885,16,74,0,-/-,-/-,.
NAALAD2--TMEM135,TMEM135,NAALAD2,PR-SdXt4A,3,75,0.04880635120301962,1,0,2,+/+,+/+,out-of-frame
OPCML--TMEM123,TMEM123,OPCML,PR-SdXt4A,44,1957,0.7158264843109544,19,11,14,-/-,-/+,out-of-frame
OR8K5--ST7,ST7,OR8K5,PR-SdXt4A,3,111,0.04880635120301962,0,1,2,+/+,-/-,out-of-frame
RNF169--XRRA1,RNF169,XRRA1,PR-SdXt4A,6,47,0.09761270240603924,3,2,1,+/+,-/+,out-of-frame
VOPP1--ZNF713,VOPP1,ZNF713,PR-SdXt4A,21,345,0.34164445842113733,3,16,2,-/-,+/+,in-frame
WASH5P--WASH6P,WASH5P,WASH6P,PR-SdXt4A,16,941,0.26030053974943795,0,2,14,-/-,+/+,.
