Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ADORA2B--TTC19,ADORA2B,TTC19,PR-Zs4Ktw,10,2480,0.1389751036385989,1,2,7,+/+,+/+,in-frame
ANAPC1--RMND5A,RMND5A,ANAPC1,PR-Zs4Ktw,4,292,0.05559004145543957,1,0,3,+/+,-/-,out-of-frame
ANKRD36--MAP4K4,MAP4K4,ANKRD36,PR-Zs4Ktw,13,499,0.18066763473017858,4,3,6,+/+,+/+,out-of-frame
ANXA8L1--EEF1G,ANXA8L1,EEF1G,PR-Zs4Ktw,14,30093,0.19456514509403847,2,2,10,+/-,-/-,.
AOX1--KCTD18,AOX1,KCTD18,PR-Zs4Ktw,10,130,0.1389751036385989,1,3,6,+/-,-/-,.
AP1M2--USP54,AP1M2,USP54,PR-Zs4Ktw,9,625,0.12507759327473902,2,2,5,-/-,-/-,in-frame
AP1M2--USP54,AP1M2,USP54,PR-Zs4Ktw,7,814,0.09728257254701923,2,1,4,-/-,-/-,out-of-frame
BMS1P23--RPIA,RPIA,BMS1P23,PR-Zs4Ktw,8,231,0.11118008291087914,1,2,5,+/+,-/+,out-of-frame
BTG4--HOATZ,HOATZ,BTG4,PR-Zs4Ktw,10,68,0.1389751036385989,2,6,2,+/-,-/-,.
C8orf34--LINC02211,C8orf34,LINC02211,PR-Zs4Ktw,2,3,0.027795020727719784,0,1,1,+/-,+/+,.
CD177--PSG8,PSG8,CD177,PR-Zs4Ktw,3,26,0.04169253109157967,0,1,2,-/+,+/+,.
CDKN2A--CDKN2B-AS1,CDKN2A,CDKN2B-AS1,PR-Zs4Ktw,93,2022,1.2924684638389698,26,46,21,-/-,+/+,out-of-frame
CDKN2A--CDKN2B-AS1,CDKN2B-AS1,CDKN2A,PR-Zs4Ktw,220,3681,3.057452280049176,59,46,115,+/+,-/-,.
DNM2--QTRT1,DNM2,QTRT1,PR-Zs4Ktw,73,482,1.014518256561772,0,1,72,+/+,+/+,.
DNM2--QTRT1,DNM2,QTRT1,PR-Zs4Ktw,245,3627,3.4048900391456733,40,45,160,+/+,+/+,out-of-frame
FAM110B--FAM110B,FAM110B,FAM110B,PR-Zs4Ktw,4,81,0.05559004145543957,2,0,2,+/+,+/-,.
GRB10--PHF14,PHF14,GRB10,PR-Zs4Ktw,3,645,0.04169253109157967,2,0,1,+/+,-/-,in-frame
KRI1--OR4K4P,KRI1,OR4K4P,PR-Zs4Ktw,8,258,0.11118008291087914,2,5,1,-/-,+/-,.
LINC00709--PHYH,PHYH,LINC00709,PR-Zs4Ktw,42,316,0.5836954352821154,20,7,15,-/-,+/+,out-of-frame
LMBRD1--LMBRD1,LMBRD1,LMBRD1,PR-Zs4Ktw,18,42,0.25015518654947805,6,4,8,-/-,-/-,.
LRMDA--SNTB1,SNTB1,LRMDA,PR-Zs4Ktw,16,114,0.22236016582175827,6,5,5,-/-,+/-,out-of-frame
PAPPA2--RP11-195C7.1,COP1-DT,PAPPA2,PR-Zs4Ktw,17,49,0.23625767618561816,1,4,12,+/+,+/+,.
PARD3--SIRT2,SIRT2,PARD3,PR-Zs4Ktw,3,248,0.04169253109157967,1,0,2,-/-,-/-,.
SRPK1--STK38,SRPK1,STK38,PR-Zs4Ktw,14,985,0.19456514509403847,2,5,7,-/-,-/-,in-frame
TRAM2--TRAM2,TRAM2,TRAM2,PR-Zs4Ktw,6,482,0.08338506218315934,0,3,3,-/-,-/-,.
ZNF718--ZNF876P,ZNF718,ZNF876P,PR-Zs4Ktw,11,14,0.1528726140024588,0,1,10,+/+,+/+,.
ZNF718--ZNF876P,ZNF718,ZNF876P,PR-Zs4Ktw,10,74,0.1389751036385989,0,1,9,+/+,+/+,out-of-frame
