"Fusion Gene","Tumor Morphology","Tumor Location","Count"
"BCR::ABL1","Chronic myeloid leukemia, aberrant translocation","","264"
"PML::RARA","Acute promyelocytic leukemia (FAB type M3)","","58"
"RUNX1::RUNX1T1","Acute myeloblastic leukemia with maturation (FAB type M2)","","46"
"RUNX1::RUNX1T1","Acute myeloid leukemia, NOS","","34"
"BCR::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","17"
"KMT2A::AFF1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","16"
"TMPRSS2::ERG","Adenocarcinoma","Prostate","11"
"NUP214::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","10"
"KMT2A::MLLT1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","10"
"EWSR1::FLI1","Ewing sarcoma","Skeleton","10"
"PICALM::MLLT10","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","9"
"KMT2A::MLLT10","Acute monoblastic leukemia without differentiation (FAB type M5a)","","9"
"KMT2A::MLLT10","Acute monoblastic leukemia (FAB type M5)","","9"
"IGH::MYC","Burkitt lymphoma/leukemia","","9"
"BIRC3::MALT1","Extranodal marginal zone B-cell lymphoma","Stomach","9"
"TPM3::NTRK1","Adenocarcinoma","Lung","8"
"PAX5::JAK2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","8"
"KIF5B::RET","Adenocarcinoma","Lung","8"
"IGH::CCND1","Mantle cell lymphoma","","8"
"EWSR1::FLI1","Ewing sarcoma","Unknown site","8"
"ETV6::RUNX1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","8"
"EBF1::PDGFRB","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","8"
"CBFB::MYH11","Acute myeloid leukemia, NOS","","8"
"TPM3::NTRK1","Adenocarcinoma","Large intestine","6"
"RUNX1::RUNX1T1","Acute myeloblastic leukemia without maturation (FAB type M1)","","6"
"RCSD1::ABL2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","6"
"NPM1::ALK","Anaplastic large cell lymphoma, systemic type","","6"
"KIAA1549::BRAF","Astrocytoma, grade I-II","Brain","6"
"IRF2BP2::NTRK1","Adenocarcinoma","Lung","6"
"EZR::ROS1","Adenocarcinoma","Lung","6"
"EWSR1::ERG","Ewing sarcoma","Skeleton","6"
"EWSR1::DDIT3","Liposarcoma, myxoid/round cell","Soft tissue","6"
"EP300::ZNF384","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","6"
"COL1A1::PDGFB","Dermatofibrosarcoma protuberans/Bednar tumor/giant cell fibroblastoma","Soft tissue","6"
"CBFB::MYH11","Acute myelomonocytic leukemia (FAB type M4)","","6"
"TRA::MYC","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","5"
"STAT5B::RARA","Acute promyelocytic leukemia (FAB type M3)","","5"
"SS18::SSX1","Synovial sarcoma","Soft tissue","5"
"RUNX1::RUNX1T1","Acute myelomonocytic leukemia (FAB type M4)","","5"
"RBM15::MRTFA","Acute megakaryoblastic leukemia (FAB type M7)","","5"
"PML::RARA","Acute myeloid leukemia, NOS","","5"
"PAX7::FOXO1","Alveolar rhabdomyosarcoma","Soft tissue","5"
"PAX5::ZCCHC7","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","5"
"NCOA4::RET","Adenocarcinoma","Thyroid","5"
"KIAA1549::BRAF","Astrocytoma, pilocytic/juvenile","Brain","5"
"IGH::BCL3","Chronic lymphocytic leukemia","","5"
"IGH::BCL2","Follicular lymphoma","","5"
"IGH::BCL2","Burkitt lymphoma/leukemia","","5"
"HAS2::PLAG1","Lipoblastoma","Soft tissue","5"
"FGFR3::TACC3","Astrocytoma, grade III-IV/Glioblastoma","Brain","5"
"EWSR1::FLI1","Ewing sarcoma","Soft tissue","5"
"EWSR1::CREM","Mesenchymal tumor, special type","Brain","5"
"ETV6::NTRK3","Adenocarcinoma","Thyroid","5"
"ETV6::NTRK3","Adenocarcinoma","Lung","5"
"ETV6::ABL1","Atypical chronic myeloid leukemia","","5"
"CD74::ROS1","Adenocarcinoma","Lung","5"
"CCDC6::RET","Adenocarcinoma","Lung","5"
"CBFB::MYH11","Acute myeloblastic leukemia with maturation (FAB type M2)","","5"
"CBFA2T3::GLIS2","Acute megakaryoblastic leukemia (FAB type M7)","","5"
"BCR::ABL1","Chronic myeloid leukemia, t(9;22)","","5"
"ZMIZ1::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"ZC3HAV1::ABL2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"YAP1::KMT2A","Sclerosing epithelioid fibrosarcoma","Soft tissue","4"
"XRN1::SMYD3","Astrocytoma, grade III-IV/Glioblastoma","Brain","4"
"TRD::TAL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"TPR::NTRK1","Adenocarcinoma","Lung","4"
"TPM3::NTRK1","Adenocarcinoma","Thyroid","4"
"TPM3::ALK","Anaplastic large cell lymphoma, systemic type","","4"
"TFG::MET","Adenocarcinoma","Thyroid","4"
"TAF15::NR4A3","Chondrosarcoma, myxoid","Soft tissue","4"
"STRN::ALK","Adenocarcinoma","Thyroid","4"
"SSBP2::CSF1R","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"SS18::SSX2","Synovial sarcoma","Soft tissue","4"
"SND1::BRAF","Adenocarcinoma","Thyroid","4"
"SLC34A2::ROS1","Adenocarcinoma","Lung","4"
"RBM10::TFE3","Adenocarcinoma","Kidney","4"
"PCM1::JAK2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"PAX5::ETV6","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"PAX5::CBFA2T2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"P2RY8::CRLF2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"NUP98::NSD1","Acute myelomonocytic leukemia (FAB type M4)","","4"
"NUP98::NSD1","Acute myeloblastic leukemia without maturation (FAB type M1)","","4"
"NUP98::KDM5A","Acute megakaryoblastic leukemia (FAB type M7)","","4"
"NSD3::PSD3","Adenocarcinoma","Breast","4"
"NPM1::ALK","Diffuse large B-cell lymphoma","","4"
"NFASC::NTRK1","Astrocytoma, grade III-IV/Glioblastoma","Brain","4"
"NAB2::STAT6","Solitary fibrous tumor","Brain","4"
"MEF2D::HNRNPUL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"MEF2D::BCL9","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"MED15::TFE3","Adenocarcinoma","Kidney","4"
"LMNA::NTRK1","Adenocarcinoma","Large intestine","4"
"LIFR::PLAG1","Adenoma","Salivary gland","4"
"KMT2A::YAP1","Sclerosing epithelioid fibrosarcoma","Soft tissue","4"
"KMT2A::SEPTIN6","Acute myeloblastic leukemia with maturation (FAB type M2)","","4"
"KMT2A::MLLT3","Acute myelomonocytic leukemia (FAB type M4)","","4"
"KMT2A::MLLT3","Acute myeloid leukemia, NOS","","4"
"KMT2A::MLLT3","Acute monoblastic leukemia (FAB type M5)","","4"
"KMT2A::MLLT10","Acute myeloid leukemia, NOS","","4"
"KMT2A::MLLT10","Acute monoblastic leukemia with differentiation (FAB type M5b)","","4"
"KMT2A::MLLT10","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"KMT2A::MAML2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"KMT2A::FLNA","Acute myeloid leukemia, NOS","","4"
"KMT2A::AFF3","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"KMT2A::AFDN","Acute monoblastic leukemia (FAB type M5)","","4"
"KMT2A::AFDN","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"IGH::MYC","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"IGH::CRLF2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"IGH::BCL6","Mature B-cell neoplasm, NOS","","4"
"IGH::BCL6","Diffuse large B-cell lymphoma","","4"
"HNRNPH1::ERG","Acute myeloid leukemia, NOS","","4"
"HMGA2::WIF1","Adenoma","Salivary gland","4"
"HMGA2::NFIB","Adenoma","Salivary gland","4"
"HMGA2::NCOR2","Soft tissue tumor, special type","Soft tissue","4"
"FUS::NFATC2","Undifferentiated round cell sarcoma","Skeleton","4"
"FIP1L1::PDGFRA","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"FGFR3::TACC3","Transitional cell carcinoma","Bladder","4"
"FGFR3::TACC3","Squamous cell carcinoma","Lung","4"
"FGFR2::BICC1","Adenocarcinoma","Gallbladder/Biliary system","4"
"FAM131B::BRAF","Astrocytoma, pilocytic/juvenile","Brain","4"
"EWSR1::WT1","Desmoplastic small round cell tumor","Intraabdominal","4"
"EWSR1::PATZ1","Undifferentiated round cell sarcoma","Soft tissue","4"
"EWSR1::PATZ1","Neuroglial neoplasm, special type","Brain","4"
"EWSR1::NFATC2","Undifferentiated round cell sarcoma","Soft tissue","4"
"ETV6::NTRK3","Fibrosarcoma","Soft tissue","4"
"ETV6::NTRK3","Adenocarcinoma","Salivary gland","4"
"ETV6::NTRK3","Adenocarcinoma","Large intestine","4"
"ETV6::JAK2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"ETV6::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","4"
"ESR1::CCDC170","Adenocarcinoma","Breast","4"
"EML4::ALK","Adenocarcinoma","Lung","4"
"CTNNB1::PLAG1","Adenoma","Salivary gland","4"
"CLTC::ALK","Diffuse large B-cell lymphoma","","4"
"CHCHD7::PLAG1","Adenoma","Salivary gland","4"
"CEP85L::ROS1","Astrocytoma, grade III-IV/Glioblastoma","Brain","4"
"CDC27::BRAF","Malignant melanoma","Skin","4"
"CBFB::MYH11","Acute myeloblastic leukemia without maturation (FAB type M1)","","4"
"BIRC3::MALT1","Extranodal marginal zone B-cell lymphoma","Lung","4"
"BCR::JAK2","Chronic myeloproliferative disorder, NOS","","4"
"BCR::ABL1","Acute myeloid leukemia, NOS","","4"
"BCR::ABL1","Acute myeloblastic leukemia without maturation (FAB type M1)","","4"
"ATP1B1::NRG1","Adenocarcinoma","Pancreas","4"
"ATIC::ALK","Anaplastic large cell lymphoma, systemic type","","4"
"ZZZ3::CDH1","Adenocarcinoma","Stomach","3"
"ZZEF1::CCDC144A","Adenocarcinoma","Breast","3"
"ZNRF3::ASCC2","Adenocarcinoma","Breast","3"
"ZNF79::SLC2A8","Malignant melanoma","Skin","3"
"ZNF791::ETHE1","Adenocarcinoma","Ovary","3"
"ZNF732::DAB1","Adenocarcinoma","Breast","3"
"ZNF717::TMEM254","Adenocarcinoma","Breast","3"
"ZNF709::CD177","Adenocarcinoma","Ovary","3"
"ZNF618::PARP4","Adenocarcinoma","Prostate","3"
"ZNF610::RALA","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"ZNF57::NANOS3","Malignant melanoma","Skin","3"
"ZNF550::CXCL17","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"ZNF544::SENP6","Adenocarcinoma","Breast","3"
"ZNF544::AP2A1","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"ZNF395::SLC25A44","Adenocarcinoma","Prostate","3"
"ZNF385B::SCG5","Adenocarcinoma","Breast","3"
"ZNF292::FIG4","Adenocarcinoma","Breast","3"
"ZNF260::SCGB2B2","Adenocarcinoma","Lung","3"
"ZNF20::DAND5","Adenocarcinoma","Ovary","3"
"ZNF136::XAB2","Malignant melanoma","Skin","3"
"ZMYND8::CEP250","Adenocarcinoma","Breast","3"
"ZMYM2::FGFR1","Chronic myeloproliferative disorder, NOS","","3"
"ZMYM2::DMRT2","Squamous cell carcinoma","Lung","3"
"ZMIZ1::NSMCE4A","Adenocarcinoma","Breast","3"
"ZDHHC21::PHGDH","Malignant melanoma","Skin","3"
"ZC3HC1::ADAM22","Adenocarcinoma","Kidney","3"
"ZC3HAV1::ITPKB","Adenocarcinoma","Breast","3"
"ZC3HAV1::BRAF","Adenocarcinoma","Thyroid","3"
"ZC3H3::PYCR3","Squamous cell carcinoma","Lung","3"
"ZC3H18::CHMP1A","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"ZBTB7B::ZMPSTE24","Adenocarcinoma","Liver","3"
"ZBTB21::PFKL","Adenocarcinoma","Kidney","3"
"ZBTB16::RARA","Acute promyelocytic leukemia (FAB type M3)","","3"
"ZBED4::SUGCT","Adenocarcinoma","Lung","3"
"YWHAE::NUTM2B","Endometrial stromal sarcoma","Uterus, corpus","3"
"YWHAE::NUTM2A","Endometrial stromal sarcoma","Uterus, corpus","3"
"YPEL2::HSPA12B","Adenocarcinoma","Breast","3"
"YEATS4::ATP23","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"WWP2::TSEN54","Adenocarcinoma","Breast","3"
"WWP2::NFAT5","Adenocarcinoma","Stomach","3"
"WWP1::LRRCC1","Adenocarcinoma","Liver","3"
"WWP1::CPB2","Adenocarcinoma","Breast","3"
"WIPF2::USP32","Adenocarcinoma","Breast","3"
"WIPF2::EZH1","Adenocarcinoma","Breast","3"
"WDR62::HCST","Transitional cell carcinoma","Bladder","3"
"WDR55::PAIP2","Adenocarcinoma","Liver","3"
"WDR37::AHNAK","Adenocarcinoma","Liver","3"
"WDR20::GET3","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"WASF2::FGR","Squamous cell carcinoma","Lung","3"
"WAC::UBAC2","Adenocarcinoma","Breast","3"
"VPS53::SMG6","Adenocarcinoma","Liver","3"
"VPS35::SLC6A2","Adenocarcinoma","Breast","3"
"VPS26C::IGSF5","Adenocarcinoma","Breast","3"
"VPS13B::SGCZ","Adenocarcinoma","Lung","3"
"VPS13B::MYO9B","Transitional cell carcinoma","Bladder","3"
"VAPB::IKZF3","Adenocarcinoma","Breast","3"
"VAMP2::NRG1","Adenocarcinoma","Lung","3"
"VAMP1::CHD4","Adenocarcinoma","Liver","3"
"VAC14::WWOX","Transitional cell carcinoma","Bladder","3"
"UVRAG::PAK1","Adenocarcinoma","Breast","3"
"UVRAG::LRTOMT","Adenocarcinoma","Breast","3"
"USP9X::ATP6AP2","Adenocarcinoma","Liver","3"
"USP43::ENDOV","Adenocarcinoma","Breast","3"
"USP39::DNAH6","Adenocarcinoma","Breast","3"
"USP25::CYYR1","Squamous cell carcinoma","Uterus, cervix","3"
"USB1::DRC7","Adenocarcinoma","Lung","3"
"URI1::XRCC1","Adenocarcinoma","Ovary","3"
"URI1::RYR1","Adenocarcinoma","Liver","3"
"URI1::IFNL1","Adenocarcinoma","Breast","3"
"UNK::DPYD","Squamous cell carcinoma","Lung","3"
"UGT2B4::MTHFD2L","Adenocarcinoma","Liver","3"
"UCK2::SNX27","Adenocarcinoma","Breast","3"
"UBXN7::RPL39L","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"UBR1::TGM5","Squamous cell carcinoma","Lung","3"
"UBL3::MTIF3","Adenocarcinoma","Breast","3"
"UBE2K::SLC9B2","Adenocarcinoma","Liver","3"
"UBAC1::SHANK2","Malignant melanoma","Skin","3"
"UBA3::FRMD4B","Adenocarcinoma","Breast","3"
"TYK2::CDC37","Adenocarcinoma","Breast","3"
"TXNDC16::ARG2","Adenocarcinoma","Prostate","3"
"TXNDC15::ARPC2","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"TUBGCP3::FARP1","Adenocarcinoma","Breast","3"
"TUBD1::MYO18A","Adenocarcinoma","Breast","3"
"TTC21B::SLC38A11","Adenocarcinoma","Prostate","3"
"TSFM::INHBE","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"TSC2::TMEM204","Adenocarcinoma","Breast","3"
"TRPS1::ZNRF2","Adenocarcinoma","Breast","3"
"TRPS1::TBC1D9B","Adenocarcinoma","Breast","3"
"TRPC4AP::MRPL45","Adenocarcinoma","Breast","3"
"TRIM33::RET","Adenocarcinoma","Lung","3"
"TRIM28::ZBTB45","Squamous cell carcinoma","Lung","3"
"TRIM27::RET","Adenocarcinoma","Thyroid","3"
"TRIM25::TBX4","Adenocarcinoma","Breast","3"
"TRIM24::BRAF","Adenocarcinoma","Large intestine","3"
"TRD::TLX1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","3"
"TRD::LMO2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","3"
"TRB::HOXA10","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","3"
"TRAPPC9::COL22A1","Adenocarcinoma","Breast","3"
"TRAPPC10::BRWD1","Adenocarcinoma","Breast","3"
"TRAK1::RAF1","Malignant melanoma","Skin","3"
"TRAF1::ALK","Anaplastic large cell lymphoma, systemic type","","3"
"TRA2A::THADA","Adenocarcinoma","Thyroid","3"
"TRA2A::HECW1","Adenocarcinoma","Breast","3"
"TPRG1::DGKG","Adenocarcinoma","Breast","3"
"TPM3::NTRK1","Soft tissue tumor, special type","Soft tissue","3"
"TP53BP1::DMXL2","Adenocarcinoma","Breast","3"
"TNPO2::HOOK2","Adenocarcinoma","Stomach","3"
"TNPO2::DNASE2","Squamous cell carcinoma","Lung","3"
"TNKS::RHOT1","Adenocarcinoma","Kidney","3"
"TMX3::METTL4","Squamous cell carcinoma","Lung","3"
"TMPRSS6::MPST","Adenocarcinoma","Liver","3"
"TMPRSS2::ETV4","Adenocarcinoma","Prostate","3"
"TMEM14C::PAK1IP1","Adenocarcinoma","Breast","3"
"TMEM135::AAMDC","Adenocarcinoma","Breast","3"
"TMEM104::CDK12","Adenocarcinoma","Breast","3"
"TM9SF4::HM13","Squamous cell carcinoma","Lung","3"
"TM2D2::ADAM9","Adenocarcinoma","Breast","3"
"TLK1::SSB","Adenocarcinoma","Breast","3"
"TIMP3::ALK","Inflammatory myofibroblastic tumor/myofibroblastic sarcoma","Uterus, corpus","3"
"THBS1::ALK","Inflammatory myofibroblastic tumor/myofibroblastic sarcoma","Uterus, corpus","3"
"TG::THADA","Adenocarcinoma","Thyroid","3"
"TESMIN::PPFIA1","Adenocarcinoma","Breast","3"
"TESK2::GPR37L1","Adenocarcinoma","Breast","3"
"TENT4B::SHANK2","Adenocarcinoma","Breast","3"
"TENM4::NRG1","Adenocarcinoma","Breast","3"
"TEAD4::C2CD5","Adenocarcinoma","Breast","3"
"TEAD1::MICAL2","Adenocarcinoma","Prostate","3"
"TCF7::SPI1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","3"
"TCF3::AP3D1","Adenocarcinoma","Breast","3"
"TCF12::TMEM255B","Adenocarcinoma","Breast","3"
"TCF12::TEX9","Adenocarcinoma","Breast","3"
"TCF12::MGST2","Adenocarcinoma","Breast","3"
"TBL1XR1::RET","Adenocarcinoma","Thyroid","3"
"TBL1XR1::PIK3CA","Adenocarcinoma","Breast","3"
"TBCD::NHERF1","Adenocarcinoma","Breast","3"
"TBC1D30::PPM1H","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"TAX1BP1::BRAF","Malignant melanoma","Skin","3"
"TAX1BP1::AHCY","Adenocarcinoma","Breast","3"
"TARBP1::RBM34","Adenocarcinoma","Breast","3"
"TAOK1::ACER3","Adenocarcinoma","Breast","3"
"TAF8::CRISP1","Adenocarcinoma","Lung","3"
"TAF3::DNAJC1","Adenocarcinoma","Lung","3"
"TAF15::MAN1A2","Adenocarcinoma","Breast","3"
"SYPL1::AKR1D1","Adenocarcinoma","Lung","3"
"SYMPK::ZNF573","Squamous cell carcinoma","Lung","3"
"SYF2::RHD","Adenocarcinoma","Liver","3"
"SUFU::GBF1","Adenocarcinoma","Breast","3"
"STXBP4::PPM1D","Adenocarcinoma","Breast","3"
"STXBP4::MSI2","Adenocarcinoma","Breast","3"
"STX16::RAE1","Adenocarcinoma","Breast","3"
"STRN::ALK","Adenocarcinoma","Lung","3"
"STRN::ALK","Adenocarcinoma","Kidney","3"
"STRN3::MAML3","Adenocarcinoma","Liver","3"
"STK24::TMTC4","Transitional cell carcinoma","Bladder","3"
"STK17B::HECW2","Adenocarcinoma","Breast","3"
"STAT4::ACKR3","Adenocarcinoma","Lung","3"
"ST7::FOXP2","Adenocarcinoma","Liver","3"
"ST3GAL3::TAL1","Adenocarcinoma","Breast","3"
"ST14::ST7","Adenocarcinoma","Breast","3"
"SSH2::VSIR","Malignant melanoma","Skin","3"
"SSBP2::NTRK1","Adenocarcinoma","Thyroid","3"
"SSBP2::JAK2","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","3"
"SS18::POU5F1","Undifferentiated round cell sarcoma","Soft tissue","3"
"SRPK2::PUS7","Adenocarcinoma","Thyroid","3"
"SRP68::LPO","Adenocarcinoma","Breast","3"
"SQSTM1::NTRK3","Adenocarcinoma","Lung","3"
"SQSTM1::NTRK1","Adenocarcinoma","Thyroid","3"
"SQSTM1::NTRK1","Adenocarcinoma","Lung","3"
"SQSTM1::ALK","Adenocarcinoma","Lung","3"
"SPTBN2::FGF19","Adenocarcinoma","Breast","3"
"SPTAN1::MAPKAP1","Malignant melanoma","Skin","3"
"SPOP::XYLT2","Adenocarcinoma","Breast","3"
"SPECC1L::RET","Adenocarcinoma","Thyroid","3"
"SPECC1::TMEM11","Adenocarcinoma","Breast","3"
"SPAG5::BLMH","Adenocarcinoma","Breast","3"
"SPAG1::STK3","Squamous cell carcinoma","Lung","3"
"SORBS2::AIF1","Adenocarcinoma","Breast","3"
"SOCS7::SRCIN1","Adenocarcinoma","Breast","3"
"SOCS7::FLOT2","Adenocarcinoma","Breast","3"
"SNX9::DAP","Adenocarcinoma","Breast","3"
"SNX5::PCSK2","Malignant melanoma","Skin","3"
"SNX27::ADAR","Adenocarcinoma","Breast","3"
"SNRPA::ANKRD24","Adenocarcinoma","Kidney","3"
"SNRNP40::ADGRB2","Transitional cell carcinoma","Bladder","3"
"SNAPIN::S100A1","Adenocarcinoma","Lung","3"
"SMG6::WDR20","Adenocarcinoma","Breast","3"
"SMG1::ANO3","Adenocarcinoma","Breast","3"
"SMC5::IMMP2L","Adenocarcinoma","Breast","3"
"SMARCD2::NUFIP2","Malignant melanoma","Skin","3"
"SMARCA4::ICAM1","Adenocarcinoma","Breast","3"
"SMARCA4::CARM1","Adenocarcinoma","Breast","3"
"SMAD3::DLGAP4","Adenocarcinoma","Kidney","3"
"SMAD3::DIS3L","Adenocarcinoma","Breast","3"
"SMAD2::CD226","Squamous cell carcinoma","Lung","3"
"SLCO3A1::BMPR2","Squamous cell carcinoma","Lung","3"
"SLC45A3::ERG","Adenocarcinoma","Prostate","3"
"SLC45A3::ELK4","Adenocarcinoma","Prostate","3"
"SLC3A2::NRG1","Adenocarcinoma","Lung","3"
"SLC3A2::GRAP2","Malignant melanoma","Skin","3"
"SLC12A8::BCAS1","Squamous cell carcinoma","Lung","3"
"SLC12A7::TMEM117","Adenocarcinoma","Lung","3"
"SKI::KCNT2","Adenocarcinoma","Breast","3"
"SIRT6::CREB3L3","Squamous cell carcinoma","Lung","3"
"SIPA1::RHOD","Squamous cell carcinoma","Uterus, cervix","3"
"SHROOM4::ARID3A","Adenocarcinoma","Uterus, corpus","3"
"SHPRH::NDUFS5","Transitional cell carcinoma","Bladder","3"
"SHC1::RPRD2","Adenocarcinoma","Breast","3"
"SH3D19::INPP4B","Malignant melanoma","Skin","3"
"SGPP2::ALG14","Adenocarcinoma","Breast","3"
"SFPQ::TFE3","Adenocarcinoma","Kidney","3"
"SESTD1::ZNF385B","Adenocarcinoma","Breast","3"
"SERPINE1::FOSB","Pseudomyogenic hemangioendothelioma","Skeleton","3"
"SERINC5::TTC39A","Adenocarcinoma","Prostate","3"
"SERGEF::ANKRD29","Adenocarcinoma","Lung","3"
"SEPTIN9::NARF","Adenocarcinoma","Breast","3"
"SEMA4C::WNT5B","Adenocarcinoma","Breast","3"
"SEMA3D::RBM28","Adenocarcinoma","Prostate","3"
"SEMA3C::CNTNAP2","Adenocarcinoma","Breast","3"
"SEC11A::VPS33B","Malignant melanoma","Skin","3"
"SDC4::NRG1","Adenocarcinoma","Lung","3"
"SCNN1G::COL27A1","Adenocarcinoma","Breast","3"
"SCMH1::SDCBP2","Squamous cell carcinoma","Uterus, cervix","3"
"SCD::GPR19","Adenocarcinoma","Breast","3"
"SCARB2::STAU2","Adenocarcinoma","Breast","3"
"SCARB1::DHX37","Adenocarcinoma","Breast","3"
"SCAMP2::SLC12A8","Adenocarcinoma","Breast","3"
"SCAF1::TRAPPC6A","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"SBNO2::TPGS1","Adenocarcinoma","Breast","3"
"SBF1::TENM4","Malignant melanoma","Skin","3"
"SATB1::GOLGA5","Adenocarcinoma","Liver","3"
"SAMD4B::SIPA1L3","Adenocarcinoma","Breast","3"
"RYBP::TADA3","Adenocarcinoma","Breast","3"
"RUNX1::ZMAT4","Adenocarcinoma","Large intestine","3"
"RUNX1::RUNX1T1","Nonneoplastic hematologic disorder/lesion","","3"
"RUNX1::MECOM","Acute myeloid leukemia, NOS","","3"
"RUNX1::IFNAR1","Malignant melanoma","Skin","3"
"RTN4::MITD1","Squamous cell carcinoma","Lung","3"
"RTF2::PARD6B","Adenocarcinoma","Breast","3"
"RRM1::STIM1","Adenocarcinoma","Breast","3"
"RPS6KC1::LYST","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"RPS6KB1::VMP1","Adenocarcinoma","Breast","3"
"RPS6KB1::SNF8","Adenocarcinoma","Breast","3"
"RPRD2::SHC1","Adenocarcinoma","Breast","3"
"RNGTT::AHI1","Malignant melanoma","Skin","3"
"RNF169::CBX1","Adenocarcinoma","Breast","3"
"RNF157::CA10","Malignant melanoma","Skin","3"
"RNF121::ESRRG","Adenocarcinoma","Breast","3"
"RNF11::TMEM61","Adenocarcinoma","Breast","3"
"RLF::MFSD2A","Adenocarcinoma","Ovary","3"
"RIMKLB::ELP3","Malignant melanoma","Skin","3"
"RHPN2::SLC7A10","Adenocarcinoma","Liver","3"
"RHPN2::GRIN2D","Adenocarcinoma","Ovary","3"
"RHOT1::FGFR1","Adenocarcinoma","Breast","3"
"RFX7::LIPC","Transitional cell carcinoma","Bladder","3"
"RFX3::GLDC","Adenocarcinoma","Breast","3"
"RFTN1::DAZL","Adenocarcinoma","Lung","3"
"RERE::OOEP","Adenocarcinoma","Prostate","3"
"RECK::ACER3","Malignant melanoma","Skin","3"
"RCC2::PADI4","Adenocarcinoma","Breast","3"
"RBPMS::NTRK3","Adenocarcinoma","Thyroid","3"
"RBMS2::LITAF","Astrocytoma, grade III-IV/Glioblastoma","Brain","3"
"RBFOX2::RAC2","Adenocarcinoma","Liver","3"
"RBFOX2::MRTFA","Malignant melanoma","Skin","3"
"RASSF8::RERGL","Adenocarcinoma","Breast","3"
"RASA1::VDAC1","Adenocarcinoma","Breast","3"
"RARA::ZNF595","Adenocarcinoma","Breast","3"
"RARA::PRR11","Adenocarcinoma","Breast","3"
"RARA::POLDIP2","Adenocarcinoma","Breast","3"
"RARA::PCTP","Adenocarcinoma","Breast","3"
"RARA::NARS2","Adenocarcinoma","Breast","3"
"RARA::MYO1D","Adenocarcinoma","Breast","3"
"RANBP2::ALK","Inflammatory myofibroblastic tumor/myofibroblastic sarcoma","Intraabdominal","3"
"RANBP2::ABL1","Acute lymphoblastic leukemia/lymphoblastic lymphoma","","3"
"RANBP10::RRP15","Adenocarcinoma","Breast","3"
"RALGPS1::TYRP1","Adenocarcinoma","Breast","3"
"RALGAPB::RPRD1B","Adenocarcinoma","Breast","3"
"RAI1::MAN1A2","Adenocarcinoma","Liver","3"
"RAI14::SCP2","Adenocarcinoma","Liver","3"
"RAI14::ASB4","Adenocarcinoma","Lung","3"
"RAF1::TRAK1","Malignant melanoma","Skin","3"
"RAD54L2::ERC2","Adenocarcinoma","Breast","3"
